Parametros,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Nac_Pais_Extranjera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3282,3388,3458,3502,3419,3575,3757,3940,3828,4098,4240,4199,3889,4095,4341,4487,
Nac_Pais_Europa_(sin_Espania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,676,713,628,592,662,680,653,647,636,605,591,543,521,486,458,
Nac_Pais_Alemania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,29,34,34,31,30,22,26,18,21,17,22,18,14,13,9,
Nac_Pais_Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,1,1,2,1,2,2,1,1,2,,1,1,2,
Nac_Pais_Bélgica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,3,3,8,4,5,5,4,4,2,4,7,1,,1,
Nac_Pais_Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,12,10,16,12,14,8,10,5,4,3,7,5,8,5,
Nac_Pais_Dinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,1,,1,1,,1,2,,
Nac_Pais_Finlandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,2,,,2,,2,,,1,,
Nac_Pais_Francia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,69,60,66,50,43,48,37,33,37,37,38,37,31,29,34,
Nac_Pais_Irlanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,9,1,,4,5,4,2,3,5,,3,1,2,4,
Nac_Pais_Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,11,9,15,15,12,12,10,18,19,16,16,13,19,15,
Nac_Pais_Noruega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,3,1,1,,,,,,,1,
Nac_Pais_Países_Bajos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,9,5,4,5,5,2,1,2,3,3,2,3,3,
Nac_Pais_Polonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,18,18,12,17,10,21,25,17,16,18,22,14,18,9,13,
Nac_Pais_Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,55,63,52,41,58,45,50,49,50,42,32,38,25,42,24,
Nac_Pais_Reino_Unido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,22,13,22,15,11,20,16,16,17,14,16,12,12,13,
Nac_Pais_Rumanía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,318,361,291,271,347,344,320,347,295,277,287,256,223,199,182,
Nac_Pais_Rusia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17,23,23,21,25,24,27,27,26,25,18,17,26,24,18,
Nac_Pais_Suecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,2,2,1,2,2,5,1,3,2,2,1,1,
Nac_Pais_Suiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,11,7,10,6,14,10,5,7,8,5,4,7,2,3,
Nac_Pais_Ucrania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,22,27,25,33,45,33,38,41,36,52,39,42,52,55,
Nac_Pais_Resto_de_Europa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,64,56,65,54,50,58,66,63,88,93,67,66,97,67,75,
Nac_Pais_africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,971,996,1053,1069,1147,1320,1440,1341,1445,1500,1322,1352,1370,1403,1388,
Nac_Pais_Marruecos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,540,532,573,585,587,671,767,740,763,849,752,758,759,725,739,
Nac_Pais_Resto_de_Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,431,464,480,484,560,649,673,601,682,651,570,594,611,678,649,
Nac_Pais_América,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504,1538,1469,1554,1491,1494,1503,1552,1594,1737,1851,1981,1722,1889,2134,2291,
Nac_Pais_Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,77,76,99,90,65,65,60,72,73,52,69,65,57,60,78,
Nac_Pais_Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,270,274,241,249,244,221,240,210,222,199,197,133,177,162,131,
Nac_Pais_Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,167,127,141,127,119,109,122,116,126,132,117,106,87,119,100,
Nac_Pais_Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,65,51,46,54,57,55,54,39,41,51,44,44,34,48,45,
Nac_Pais_Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22,32,27,29,21,20,19,21,17,22,19,15,15,21,15,
Nac_Pais_Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,293,283,262,263,249,239,229,250,258,330,352,323,406,504,579,
Nac_Pais_Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,168,173,155,155,159,122,134,124,122,133,123,96,100,121,96,
Nac_Pais_Estados_Unidos_de_América,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,11,12,18,13,23,19,22,18,20,30,18,28,17,22,
Nac_Pais_Perú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,87,87,81,83,103,83,77,91,85,84,98,84,91,150,146,
Nac_Pais_Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,6,13,17,12,13,7,13,8,10,4,1,7,6,9,
Nac_Pais_Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,57,51,81,49,55,70,60,85,92,135,135,131,130,138,182,
Nac_Pais_Resto_de_América,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,304,298,396,357,397,483,531,551,675,683,793,706,757,788,888,
Nac_Pais_Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,200,277,265,265,271,253,293,245,277,284,301,266,313,314,349,
Nac_Pais_China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,128,157,135,109,118,93,101,79,80,72,47,40,41,38,49,
Nac_Pais_Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,35,63,69,83,87,96,102,97,120,126,167,128,199,193,214,
Nac_Pais_Resto_de_Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,37,57,61,73,66,64,90,69,77,86,87,98,73,83,86,
Nac_Pais_Resto_de_países,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,2,1,1,2,1,3,,4,6,2,4,1,
Total_Defunciones,14699,14615,14523,14235,14180,14254,14628,14157,14853,14809,15465,15481,15142,15626,15572,16370,16731,16540,16770,16766,17507,18035,17539,18153,18400,18243,18087,18627,19306,18679,19417,18507,19251,19433,19614,19363,19832,20281,19720,20166,21511,21224,21634,21763,21566,24252,23086,24203,22328,22397,
Saldo_Vegetativo,24947,26485,24283,21422,17655,14558,12627,11513,9067,7602,5505,4779,3577,2533,1547,86,-439,-199,-892,-1499,-2162,-2050,-1213,-2040,-1609,-927,-438,-493,-36,895,281,1519,1343,1877,1291,1807,1323,252,-604,-787,-2662,-2977,-4557,-5663,-6117,-9509,-8810,-10540,-8866,-9447,
Saldo_Migratorio,,,,,,,,,,,,,,,,,-2611,-4662,-4542,-5370,-4814,-3057,-1738,-2213,-1188,3903,7861,6082,4864,8116,12256,11827,16835,14689,6553,5166,8192,-227,-1956,3602,3362,8871,10725,14724,19468,4512,3588,22171,20928,20870,
Tasa_Natalidad_Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,69","9,19","9,29","9,29","9,38","9,57","9,83","9,60","9,71","9,69","9,42","8,79","8,92","8,68","8,38","7,83","7,35","7,01","6,66","6,46","6,18","6,06","5,79",
Tasa_Natalidad_Esp,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,45","8,90","8,96","8,92","8,94","8,96","8,98","8,71","8,92","8,88","8,57","7,94","8,04","7,72","7,38","6,88","6,31","5,94","5,63","5,53","5,20","4,99","4,72",
Tasa_Natalidad_Ext,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,62","19,99","19,20","18,42","18,76","20,26","22,92","22,41","20,83","21,23","22,13","22,40","24,10","25,18","25,07","22,72","22,14","20,66","18,46","16,93","16,52","16,40","15,53",
Tasa_Global_Fec_Total,"80,11","81,99","76,41","69,29","61,00","54,46","51,03","47,93","44,61","41,73","38,95","37,55","34,56","33,29","31,13","29,73","29,25","29,09","28,14","27,02","27,22","28,46","29,20","29,02","30,50","31,75","32,66","33,82","36,16","36,94","37,33","38,17","39,43","41,10","40,78","41,92","42,54","41,99","39,90","41,23","40,71","39,86","37,60","35,58","34,08","32,49","31,82","30,62","30,10","28,91",
Tasa_Global_Fec_Espaniola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"33,19","35,44","36,16","36,51","37,21","37,99","38,80","38,38","40,10","40,68","39,91","37,63","38,69","37,72","36,62","34,60","32,15","30,58","29,26","29,05","27,62","26,72","25,44",
Tasa_Global_Fec_Extranjera,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"55,42","55,08","53,21","50,81","51,49","55,83","63,85","62,37","57,86","58,42","60,26","60,75","66,29","69,81","70,27","63,83","62,75","58,60","52,82","48,86","47,99","48,09","46,46",
Indicador_Coy_Fecund_Ambas nacionalidades,"2,78","2,84","2,65","2,39","2,09","1,86","1,73","1,62","1,50","1,39","1,29","1,24","1,14","1,10","1,03","0,98","0,97","0,97","0,94","0,90","0,90","0,94","0,96","0,95","0,99","1,03","1,05","1,09","1,16","1,18","1,18","1,21","1,25","1,30","1,29","1,33","1,35","1,35","1,30","1,37","1,37","1,37","1,32","1,28","1,25","1,21","1,20","1,16","1,15","1,10",
Indicador_Coy_Fecund_Espaniola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,07","1,14","1,15","1,16","1,17","1,19","1,21","1,20","1,26","1,28","1,27","1,22","1,29","1,28","1,27","1,23","1,18","1,15","1,13","1,15","1,10","1,08","1,04",
Indicador_Coy_Fecund_Extranjera,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,64","1,60","1,53","1,47","1,48","1,60","1,88","1,80","1,67","1,70","1,78","1,82","1,97","2,07","2,11","1,94","1,91","1,81","1,62","1,50","1,50","1,50","1,45",
Prim_Hijo_Total,"25,66","25,36","25,33","25,34","25,48","25,80","25,93","26,28","26,38","26,67","26,86",..,"27,27","27,47","27,87","28,17","28,71","28,97","29,36","29,64","29,98","30,18","30,34","30,66","30,82","30,93","31,08","31,01","31,17","31,13","31,07","31,00","30,94","30,90","31,07","31,21","31,43","31,45","31,61","31,61","31,73","31,81","31,92","31,94","31,86","32,06","32,35","32,43","32,40","32,46",
Prim_Hijo_Esp,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"31,26","31,45","31,50","31,55","31,61","31,68","31,81","31,94","32,02","32,15","32,23","32,35","32,23","32,39","32,47","32,64","32,79","32,76","32,95","33,09","33,36","33,34","33,52",
Prim_Hijo_Ext,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"25,86","26,54","26,70","26,25","26,18","26,04","26,17","26,59","26,54","26,84","26,56","26,81","27,30","27,35","27,49","27,29","27,22","27,31","27,62","27,90","27,47","27,95","27,72",
Pob_Total_Total,1989739,2018991,2049266,2076762,2100970,2121524,2139360,2145860,2148550,2148648,2147171,2143503,2138880,2132852,2125498,2116888,2106405,2103318,2102202,2100382,2097947,2094857,2091894,2089757,2086864,2084535,2082971,2082911,2092640,2103103,2115262,2127670,2142601,2159427,2174080,2179532,2183134,2184696,2179274,2172247,2172707,2174426,2179944,2187254,2197306,2211917,2212628,2205826,2216302,2227684,2242343
Pob_Total_0anios,39530,38864,39940,37600,34597,31435,28835,27370,25295,23534,22078,20688,19840,18350,17725,16719,15893,16048,16224,15784,15181,15273,15908,16232,16089,16830,17335,17873,18165,19313,19635,19812,20134,20679,21453,21061,21271,21383,20388,19003,19283,18795,18204,17085,16089,15470,14819,14285,13688,13489,13027
Pob_Total_1anio,39034,39163,38617,39359,36932,34060,31382,28680,27142,25105,23341,21935,20550,19568,18113,17422,16407,15826,16025,16182,15757,15153,15252,15898,16199,16140,16927,17396,18055,18390,19562,19900,20095,20400,20912,21685,21309,21423,21293,20426,19091,19374,18893,18363,17210,16248,15585,14917,14532,13929,13704
Pob_Total_2anios,39294,38790,38900,38447,38854,36336,33590,31213,28487,26948,24946,23181,21812,20447,19326,17900,17129,16376,15857,16019,16153,15740,15137,15249,15893,16180,16203,17038,17611,18236,18537,19758,20132,20282,20584,21087,21915,21522,21320,21195,20519,19188,19493,19053,18550,17401,16344,15507,15015,14723,14186
Pob_Total_3anio,38777,39128,38552,38640,38286,38364,35760,33374,31021,28302,26758,24796,23028,21693,20353,19086,17686,17106,16401,15889,16013,16128,15724,15122,15247,15895,16159,16275,17200,17796,18339,18641,19899,20295,20435,20725,21218,22100,21406,21296,21218,20528,19263,19589,19209,18712,17449,16395,15717,15224,14873
Pob_Total_4_anios,37045,38613,38957,38316,38396,38128,37882,35493,33221,30834,28122,26578,24648,22876,21571,20258,18851,17666,17136,16432,15921,16006,16103,15708,15110,15247,15895,16165,16423,17347,17934,18434,18797,20069,20429,20581,20893,21325,22026,21311,21427,21262,20667,19398,19750,19443,18790,17475,16613,15941,15440
Pob_Total_5_anios,36674,37084,38460,38791,38090,38155,37977,37647,35298,33074,30649,27942,26398,24502,22719,21450,20161,18839,17686,17165,16459,15952,16003,16080,15695,15096,15247,15910,16327,16551,17495,18075,18594,18944,20127,20530,20699,21018,21312,22023,21351,21516,21372,20795,19532,20017,19538,18850,17727,16816,16201
Pob_Total_6_anios,36863,36711,37123,38310,38626,37857,37854,37793,37470,35101,32927,30457,27768,26217,24358,22566,21331,20156,18873,17710,17193,16487,15987,15999,16057,15682,15082,15274,16022,16482,16693,17673,18253,18735,19040,20207,20602,20760,20924,21261,22047,21375,21626,21496,20921,19767,20131,19595,19128,17951,17055
Pob_Total_7_anios,37776,36877,36754,37163,38164,38462,37623,37656,37608,37296,34902,32781,30266,27592,26037,24211,22414,21304,20161,18906,17732,17227,16515,16021,15997,16032,15666,15093,15419,16124,16599,16859,17905,18460,18804,19150,20299,20664,20714,20905,21319,22054,21439,21773,21570,21148,19836,20219,19885,19354,18206
Pob_Total_8_anios,37643,37731,36889,36799,37211,38018,38304,37433,37465,37430,37121,34703,32636,30085,27417,25859,24065,22400,21296,20176,18939,17753,17257,16547,16053,15993,16007,15666,15226,15558,16279,16754,17031,18061,18591,18878,19245,20378,20663,20705,20950,21331,22108,21499,21910,21809,21233,19892,20512,20100,19624
