Parametros,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Pob_Total_26_anios,30852,30171,29398,28980,30738,31020,30665,31638,32587,33901,34197,34678,34541,34182,34660,35488,36695,36005,35576,35166,34559,34643,34541,35463,35606,35037,35511,35686,36209,34988,33945,31793,30159,29538,27684,26321,24750,23683,22391,20889,20306,19338,18953,19075,19743,20104,19755,20041,21227,21979,22290
Pob_Total_27_anios,29474,31178,30460,29688,29276,31007,31310,30591,31483,32436,33764,34000,34566,34416,33941,34381,35162,36561,35865,35440,35023,34398,34498,34390,35334,35461,34963,35477,35963,36533,35328,34340,32246,30715,29991,27862,26251,24674,23485,22260,21024,20515,19681,19352,19737,20502,20474,19963,20657,21951,22717
Pob_Total_28_anios,29172,29668,31507,30742,29975,29568,31276,31226,30441,31332,32295,33614,33803,34454,34287,33687,34097,35043,36444,35730,35298,34868,34247,34361,34226,35195,35313,34879,35809,36195,36785,35683,34747,32669,31177,30027,27892,26237,24563,23332,22275,21070,20797,20145,19956,20449,20913,20620,20626,21340,22772
Pob_Total_29_anios,30864,29315,29870,31820,31018,30261,29874,31174,31059,30294,31182,32148,33469,33608,34332,34158,33438,33992,34952,36334,35578,35164,34725,34103,34228,34063,35063,35154,35123,36039,36456,37064,35932,35126,32949,31172,29842,27869,26033,24267,23315,22404,21306,21186,20603,20637,20792,21024,21269,21272,22066
Pob_Total_30_anios,29309,30972,29451,30068,32139,31304,30550,29774,31007,30891,30152,31023,31998,33329,33404,34213,34019,33358,33917,34868,36223,35433,35017,34596,33968,34102,33910,34942,35341,35321,36283,36752,37346,36276,35452,32889,31218,29749,27635,25774,24219,23392,22624,21673,21760,21248,21095,20851,21655,21771,22045
Pob_Total_31_anios,28448,29399,31089,29586,30260,32466,31578,30439,29587,30836,30726,30003,30864,31850,33171,33184,34083,33946,33330,33846,34777,36099,35275,34878,34468,33815,33966,33764,35168,35523,35516,36460,37066,37706,36618,35520,32916,31012,29495,27316,25723,24304,23577,22909,22108,22332,21612,21117,21366,22360,22417
Pob_Total_32_anios,25243,28528,29487,31207,29719,30457,32789,31458,30261,29394,30670,30555,29848,30707,31711,33027,32968,34035,33880,33286,33780,34670,35965,35139,34731,34346,33672,33811,33997,35404,35707,35767,36683,37339,37886,36573,35501,32772,30718,29139,27284,25777,24506,23877,23306,22709,22722,21633,21667,21798,22969
Pob_Total_33_anios,23982,25230,28614,29572,31326,29857,30652,32654,31269,30078,29207,30497,30394,29699,30541,31563,32865,32909,34013,33813,33260,33695,34566,35857,35007,34610,34212,33555,34017,34206,35556,35891,36051,36954,37559,37813,36462,35247,32451,30375,29106,27323,25953,24829,24284,23897,22979,22681,22202,22252,22433
Pob_Total_34_anios,27499,24004,25208,28696,29657,31446,29993,30519,32433,31074,29887,29022,30316,30216,29555,30383,31412,32814,32885,33989,33753,33210,33616,34492,35766,34873,34491,34114,33731,34115,34454,35780,36141,36373,37213,37495,37749,36224,34898,32214,30285,29090,27515,26182,25272,24863,24218,22985,23170,22634,22767
Pob_Total_35_anios,20583,27429,24029,25192,28776,29748,31570,29850,30320,32210,30872,29699,28834,30135,30051,29399,30221,31367,32778,32849,33957,33689,33146,33559,34425,35668,34738,34364,34246,33863,34290,34608,35969,36410,36524,37174,37388,37615,36049,34624,32191,30341,29244,27760,26531,25774,25081,24207,23409,23658,23089
Pob_Total_36_anios,22419,20565,27366,24051,25167,28857,29824,31439,29658,30131,31984,30667,29510,28649,29964,29876,29240,30185,31320,32741,32819,33923,33632,33124,33509,34365,35566,34631,34498,34389,34030,34463,34822,36172,36653,36414,37090,37226,37373,35732,34563,32234,30598,29478,28179,26981,26036,25035,24568,23791,24177
Pob_Total_37_anios,24886,22367,20538,27307,24065,25140,28933,29677,31239,29458,29935,31769,30461,29313,28459,29774,29688,29197,30172,31299,32701,32787,33891,33581,33091,33464,34296,35450,34742,34626,34618,34207,34610,35054,36387,36593,36381,37019,36934,37041,35717,34637,32378,30849,29859,28628,27208,26021,25577,25000,24284
Pob_Total_38_anios,29415,24872,22332,20513,27239,24080,25112,28802,29484,31025,29271,29723,31543,30256,29112,28269,29588,29624,29176,30152,31254,32653,32760,33855,33541,33074,33410,34231,35556,34838,34818,34818,34361,34913,35298,36265,36516,36146,36799,36621,36962,35767,34794,32515,31230,30236,28897,27243,26353,25934,25435
Pob_Total_39_anios,27922,29376,24844,22295,20482,27172,24090,24965,28622,29292,30822,29073,29515,31308,30044,28908,28070,29528,29593,29147,30137,31224,32599,32732,33834,33488,33049,33365,34344,35644,34964,34920,34980,34653,35097,35252,36204,36486,35927,36589,36622,37022,35807,34959,32806,31666,30507,28841,27624,26741,26265
Pob_Total_40_anios,28450,27925,29343,24820,22242,20440,27094,23967,24790,28437,29093,30627,28871,29304,31068,29824,28707,28000,29479,29555,29118,30100,31184,32554,32710,33811,33435,33040,33425,34459,35764,35110,35081,35180,34781,35087,35192,36047,36285,35675,36476,36639,37133,35976,35173,33156,31817,30516,29182,27970,27117
Pob_Total_41_anios,29848,28463,27920,29288,24798,22198,20403,26926,23823,24627,28250,28887,30427,28661,29094,30833,29614,28635,27958,29441,29503,29071,30073,31155,32509,32693,33788,33411,33073,33489,34551,35903,35221,35145,35311,34788,35010,35132,35887,36119,35583,36513,36759,37248,36203,35526,33289,31734,30771,29426,28250
Pob_Total_42_anios,29728,29801,28459,27908,29223,24781,22144,20265,26736,23668,24448,28059,28684,30220,28449,28870,30586,29542,28587,27909,29400,29452,29037,30040,31114,32457,32669,33792,33468,33111,33603,34605,36034,35333,35249,35337,34755,34991,34886,35638,36064,35634,36598,36892,37419,36497,35653,33232,32026,31018,29774
Pob_Total_43_anios,28345,29656,29748,28437,27879,29153,24740,22002,20140,26547,23514,24271,27866,28470,30020,28233,28630,30502,29503,28538,27853,29351,29400,28993,30023,31080,32411,32667,33826,33530,33213,33688,34637,36127,35414,35250,35266,34636,34751,34697,35589,36051,35682,36671,37047,37677,36618,35532,33402,32210,31339
Pob_Total_44_anios,29180,28328,29586,29691,28415,27863,29079,24592,21847,19985,26360,23354,24076,27671,28249,29798,28017,28543,30451,29463,28473,27796,29301,29339,28962,29998,31034,32391,32734,33845,33581,33273,33809,34718,36245,35417,35184,35184,34392,34582,34661,35564,36077,35798,36813,37261,37809,36495,35746,33592,32478
Pob_Total_45_anios,26354,29041,28323,29500,29619,28406,27829,28887,24417,21690,19822,26187,23182,23890,27478,28032,29568,27929,28478,30395,29415,28404,27746,29258,29275,28901,29965,30994,32393,32750,33924,33653,33358,33910,34782,36205,35304,35005,34972,34170,34534,34649,35554,36067,35942,36996,37375,37723,36600,35784,33782
Pob_Total_46_anios,27504,26396,28903,28302,29414,29532,28398,27665,28668,24230,21533,19672,25992,23016,23679,27262,27812,29445,27880,28402,30326,29359,28349,27689,29201,29217,28849,29956,31035,32422,32808,33994,33734,33450,33943,34736,36111,35192,34765,34719,34213,34494,34687,35652,36130,36142,37064,37292,37886,36759,35996
Pob_Total_47_anios,25820,27440,26413,28769,28277,29310,29482,28231,27469,28451,24053,21361,19523,25790,22840,23492,27050,27704,29335,27828,28337,30260,29310,28268,27633,29133,29158,28801,29963,31028,32438,32829,34001,33808,33457,33825,34607,35961,35016,34588,34655,34180,34496,34771,35738,36328,36209,36937,37401,37979,36957
Pob_Total_48_anios,25679,25701,27372,26426,28610,28238,29233,29277,28012,27259,28210,23875,21177,19373,25568,22647,23290,26933,27626,29226,27756,28265,30185,29236,28203,27564,29063,29111,28826,29958,30990,32432,32854,34060,33851,33377,33783,34497,35775,34810,34469,34638,34203,34465,34847,35915,36368,36109,37124,37501,38094
Pob_Total_49_anios,24392,25612,25572,27308,26425,28433,28215,29033,29032,27792,27032,27974,23687,21006,19222,25336,22465,23154,26820,27549,29108,27681,28176,30085,29154,28116,27477,29012,29049,28824,29971,30992,32396,32878,34073,33769,33241,33653,34375,35583,34675,34411,34628,34180,34508,35005,35918,36252,36192,37213,37544
Pob_Total_50_anios,24108,24282,25484,25446,27197,26420,28251,28017,28818,28777,27556,26811,27707,23489,20829,19063,25123,22337,23051,26711,27437,28957,27601,28070,30008,29077,28032,27407,28960,28991,28791,29953,30969,32425,32846,34017,33656,33132,33455,34220,35487,34631,34395,34626,34193,34631,34971,35830,36322,36294,37294
Pob_Total_51_anios,22967,23940,24178,25382,25314,27068,26400,28005,27786,28591,28510,27325,26590,27436,23263,20640,18904,24951,22218,22959,26596,27335,28830,27531,27959,29915,28984,27955,27369,28922,28919,28792,29880,30936,32425,32756,33903,33527,32948,33261,34121,35395,34631,34376,34654,34224,34624,34878,35885,36391,36350
Pob_Total_52_anios,21777,22801,23766,24075,25270,25153,26982,26182,27744,27529,28365,28243,27070,26360,27181,23067,20450,18776,24773,22088,22854,26475,27241,28709,27452,27873,29827,28909,27881,27314,28836,28855,28732,29880,30872,32313,32568,33700,33307,32795,33145,34007,35356,34607,34436,34686,34210,34480,34903,35919,36437
Pob_Total_53_anios,20983,21644,22630,23592,23944,25150,25009,26707,25938,27479,27261,28124,27950,26805,26115,26924,22835,20309,18659,24641,21944,22742,26336,27154,28581,27360,27747,29717,28789,27794,27222,28749,28818,28666,29818,30773,32208,32475,33533,33108,32681,33051,33919,35298,34595,34415,34647,34074,34525,34875,35983
Pob_Total_54_anios,20227,20814,21506,22444,23429,23821,25052,24764,26433,25671,27218,26977,27858,27638,26552,25869,26661,22651,20190,18524,24476,21816,22606,26219,27034,28425,27260,27624,29603,28687,27692,27118,28678,28742,28598,29652,30632,32008,32251,33297,32922,32586,32975,33825,35251,34605,34384,34531,34043,34506,34902
Pob_Total_55_anios,16573,20062,20614,21355,22278,23239,23673,24790,24509,26144,25403,26922,26683,27598,27353,26291,25609,26411,22475,20053,18399,24292,21683,22472,26072,26905,28250,27136,27495,29498,28555,27555,27027,28590,28595,28509,29519,30476,31846,32034,33130,32825,32491,32897,33765,35193,34530,34256,34524,34039,34530
Pob_Total_56_anios,16984,16441,19865,20440,21210,22087,23014,23438,24522,24238,25825,25127,26613,26416,27312,27008,26031,25388,26190,22295,19906,18256,24095,21560,22328,25914,26755,28067,27014,27341,29359,28433,27393,26880,28460,28437,28352,29343,30301,31581,31883,32990,32753,32385,32843,33750,35154,34429,34241,34493,34039
Pob_Total_57_anios,16281,16804,16323,19655,20254,21066,21896,22766,23202,24225,23938,25506,24822,26307,26107,27030,26704,25790,25151,25936,22118,19760,18116,23905,21384,22180,25746,26615,27890,26890,27207,29194,28294,27267,26744,28287,28269,28141,29144,30085,31428,31765,32852,32645,32302,32774,33654,34970,34376,34190,34469
Pob_Total_58_anios,15357,16115,16612,16183,19450,20060,20923,21651,22469,22905,23918,23646,25168,24532,25997,25797,26730,26441,25546,24895,25673,21913,19595,17955,23727,21216,22041,25563,26448,27662,26720,27043,29007,28104,27139,26599,28118,28111,27964,28925,29965,31271,31610,32730,32531,32251,32685,33527,34908,34305,34110
Pob_Total_59_anios,15629,15221,15922,16402,16049,19230,19859,20654,21381,22166,22623,23604,23333,24827,24203,25664,25484,26451,26165,25302,24623,25408,21709,19431,17789,23528,21043,21858,25348,26237,27458,26561,26839,28851,27967,26983,26391,27923,27932,27748,28747,29827,31138,31474,32576,32456,32088,32455,33427,34801,34222
Pob_Total_60_anios,15763,15427,15081,15752,16168,15914,18974,19571,20379,21082,21833,22325,23286,23052,24499,23870,25330,25186,26186,25895,25046,24390,25108,21509,19273,17629,23303,20851,21642,25118,26007,27175,26351,26624,28639,27730,26785,26200,27700,27681,27504,28558,29663,31028,31400,32446,32295,31905,32334,33328,34724
Pob_Total_61_anios,15418,15534,15221,14941,15575,15928,15780,18683,19260,20092,20777,21519,21992,22959,22721,24146,23550,25047,24903,25903,25614,24800,24116,24834,21285,19095,17464,23043,20633,21433,24868,25713,26896,26110,26407,28390,27469,26578,25945,27477,27517,27305,28358,29500,30878,31239,32227,32046,31762,32232,33250
Pob_Total_62_anios,14800,15218,15305,15021,14799,15360,15706,15550,18402,18987,19783,20451,21190,21678,22631,22417,23763,23275,24733,24596,25585,25323,24524,23850,24548,21063,18883,17280,22773,20438,21192,24656,25461,26677,25887,26174,28122,27273,26376,25691,27238,27330,27122,28188,29332,30688,30990,32008,31828,31555,32082
Pob_Total_63_anios,14389,14585,14965,15066,14800,14635,15144,15450,15328,18123,18681,19468,20083,20863,21371,22265,22094,23412,22985,24418,24280,25273,25002,24228,23552,24250,20796,18670,17056,22517,20227,20976,24404,25199,26442,25654,25915,27896,27012,26152,25469,27040,27131,26966,28035,29141,30467,30739,31803,31710,31397
Pob_Total_64_anios,14550,14159,14366,14711,14838,14595,14470,14912,15186,15106,17789,18347,19140,19720,20531,21037,21892,21765,23146,22699,24100,23987,24930,24688,23927,23245,23910,20534,18451,16856,22254,20022,20741,24164,24997,26201,25420,25669,27635,26776,25901,25273,26858,26963,26742,27874,28894,30171,30470,31589,31546
Pob_Total_65_anios,13359,14243,13923,14131,14419,14556,14337,14207,14667,14926,14830,17460,18026,18800,19346,20172,20680,21593,21468,22867,22395,23751,23641,24606,24314,23647,22949,23593,20243,18205,16656,22014,19766,20492,23937,24706,25888,25189,25390,27338,26570,25672,25058,26631,26729,26537,27591,28565,29876,30238,31356
Pob_Total_66_anios,13163,13147,13946,13649,13900,14141,14303,14087,13961,14395,14647,14578,17110,17703,18432,18978,19804,20394,21296,21172,22550,22080,23396,23296,24260,23960,23329,22611,23246,19994,17958,16450,21735,19504,20298,23655,24419,25615,24962,25138,27058,26344,25417,24811,26414,26492,26239,27291,28276,29682,30056
Pob_Total_67_anios,12321,12888,12889,13585,13385,13669,13885,14023,13823,13690,14141,14350,14270,16742,17337,18090,18588,19467,20085,20956,20866,22200,21719,23042,22938,23876,23623,23002,22289,22893,19748,17757,16231,21486,19288,20055,23410,24180,25334,24693,24829,26757,26073,25138,24594,26156,26171,25956,26992,28081,29448
Pob_Total_68_anios,12138,12000,12593,12621,13232,13098,13400,13631,13753,13519,13389,13843,14030,13955,16356,16965,17698,18245,19174,19742,20604,20538,21815,21359,22687,22569,23482,23265,22659,21931,22621,19501,17529,16029,21207,19047,19818,23144,23905,25066,24440,24510,26483,25817,24830,24379,25846,25861,25671,26730,27840
Pob_Total_69_anios,11714,11856,11691,12284,12342,12881,12819,13118,13360,13471,13205,13062,13541,13701,13662,15979,16583,17360,17925,18823,19436,20252,20174,21451,20979,22299,22183,23057,22897,22305,21609,22296,19264,17314,15832,20919,18844,19586,22891,23599,24789,24164,24199,26210,25540,24573,24117,25494,25570,25429,26495
Pob_Total_70_anios,10823,11337,11508,11330,11990,12090,12539,12497,12816,13056,13160,12898,12733,13208,13349,13349,15575,16208,17046,17594,18447,19056,19833,19777,21022,20606,21871,21735,22630,22539,21987,21278,21978,18998,17089,15620,20648,18611,19341,22604,23334,24451,23848,23965,25918,25257,24226,23762,25188,25268,25184
Pob_Total_71_anios,10185,10461,10955,11148,10973,11655,11826,12211,12181,12473,12743,12822,12567,12420,12875,13007,13023,15189,15849,16677,17218,18078,18618,19448,19361,20637,20186,21391,21330,22225,22145,21646,20951,21623,18732,16837,15375,20379,18379,19059,22293,22991,24116,23539,23657,25629,24898,23874,23439,24868,24990
Pob_Total_72_anios,9407,9846,10056,10525,10804,10613,11320,11502,11851,11822,12135,12413,12467,12227,12103,12562,12634,12702,14819,15458,16340,16830,17675,18186,18980,18952,20163,19769,20946,20910,21813,21718,21257,20561,21227,18447,16538,15180,20088,18093,18766,22014,22668,23797,23229,23336,25244,24496,23500,23117,24648
Pob_Total_73_anios,8202,9019,9477,9666,10113,10488,10229,10912,11150,11496,11444,11744,12030,12117,11888,11747,12162,12266,12390,14454,15075,15953,16395,17245,17726,18503,18506,19663,19354,20491,20507,21369,21313,20873,20183,20838,18125,16247,14914,19756,17795,18501,21689,22355,23478,22905,22962,24806,24143,23218,22820
Pob_Total_74_anios,9170,7856,8625,9120,9285,9723,10129,9880,10513,10728,11112,11041,11354,11682,11735,11491,11364,11838,11929,12064,14023,14656,15533,15932,16755,17253,18020,18015,19187,18850,20032,20006,20912,20874,20473,19770,20416,17798,15958,14670,19387,17519,18205,21338,22020,23088,22499,22566,24355,23743,22927
Pob_Total_75_anios,6196,8639,7526,8244,8760,8873,9263,9737,9505,10114,10351,10702,10630,10939,11266,11339,11105,10971,11459,11587,11740,13556,14205,15085,15468,16247,16746,17551,17536,18687,18378,19514,19559,20437,20380,20023,19394,20030,17443,15645,14407,19017,17184,17885,20916,21585,22591,22123,22149,23941,23326
Pob_Total_76_anios,6708,5868,8124,7194,7847,8385,8450,8844,9324,9108,9671,9914,10333,10181,10525,10845,10930,10693,10615,11011,11232,11332,13105,13718,14595,14982,15737,16205,17057,17044,18196,17910,19028,19071,19961,19890,19555,18983,19554,17053,15285,14108,18636,16849,17525,20521,21097,22088,21611,21716,23473
Pob_Total_77_anios,5392,6238,5557,7666,6881,7410,7966,8045,8425,8852,8701,9195,9442,9933,9741,10097,10397,10485,10266,10236,10603,10814,10930,12627,13203,14082,14484,15194,15726,16471,16540,17649,17406,18506,18552,19443,19347,19013,18494,19100,16614,14933,13811,18236,16488,17137,19991,20633,21548,21151,21267
Pob_Total_78_anios,5617,5033,5819,5218,7158,6553,6983,7541,7635,7965,8402,8243,8762,8978,9421,9298,9581,9941,10019,9800,9833,10173,10373,10503,12114,12632,13536,13947,14605,15156,15913,15957,17077,16835,17887,17966,18864,18792,18439,17997,18543,16159,14524,13452,17812,16117,16675,19461,20088,21053,20709
Pob_Total_79_anios,4896,5172,4677,5419,4930,6683,6216,6533,7070,7197,7518,7899,7801,8276,8528,8995,8793,9133,9470,9576,9370,9356,9722,9935,10033,11546,12044,13006,13400,14066,14551,15244,15340,16465,16248,17302,17425,18280,18183,17897,17468,18000,15716,14109,13061,17338,15615,16130,18910,19519,20528
Pob_Total_80_anios,4192,4461,4764,4316,5008,4620,6224,5780,6077,6571,6760,7030,7361,7342,7764,8064,8450,8296,8644,8962,9089,8898,8901,9271,9434,9476,10958,11504,12439,12828,13467,13942,14583,14724,15819,15623,16656,16780,17678,17533,17327,16878,17412,15212,13649,12670,16684,15129,15584,18354,18957
Pob_Total_81_anios,3581,3798,4045,4358,3954,4627,4299,5738,5325,5648,6104,6269,6526,6876,6845,7252,7535,7909,7774,8076,8461,8562,8392,8431,8763,8886,8975,10341,10957,11805,12199,12743,13250,13902,14086,15129,14973,15934,16141,17026,16882,16657,16234,16760,14665,13179,12155,15970,14580,15042,17709
Pob_Total_82_anios,3080,3217,3447,3654,3961,3622,4210,3938,5230,4886,5200,5590,5795,6046,6337,6372,6706,7041,7361,7247,7525,7932,8023,7864,7890,8182,8332,8454,9762,10333,11163,11566,12129,12585,13201,13337,14386,14266,15192,15424,16293,16122,15983,15545,16043,14054,12594,11635,15302,13981,14450
Pob_Total_83_anios,2391,2746,2847,3103,3319,3594,3308,3800,3582,4742,4457,4747,5155,5337,5541,5819,5852,6196,6512,6853,6718,7019,7362,7464,7300,7356,7616,7797,7906,9136,9670,10422,10918,11433,11866,12490,12601,13624,13548,14454,14664,15460,15364,15262,14829,15307,13365,12018,11019,14605,13377
Pob_Total_84_anios,2507,2079,2400,2505,2772,2968,3198,2928,3414,3208,4278,4011,4316,4685,4861,5047,5300,5338,5674,5973,6337,6173,6483,6819,6889,6735,6822,7058,7243,7321,8505,8969,9736,10227,10707,11138,11761,11803,12866,12790,13624,13821,14597,14537,14462,14054,14472,12651,11391,10506,13906
Pob_Total_85_y_mas_anios,8868,9341,9408,9727,10245,10891,11601,12367,12988,13762,14388,15665,16694,18083,19557,21069,22490,23842,25111,26467,28000,29507,30570,31900,33334,34540,35851,37077,38138,38889,39988,41904,44629,47523,50594,53829,57206,60988,63889,68200,71810,75037,78538,82177,85393,88518,89694,91677,91052,90308,88753
Edad_Media_Pob,"31,6","31,8","31,9","32,1","32,3","32,6","33,0","33,3","33,7","34,1","34,6","35,0","35,4","35,9","36,4","36,9","37,4","37,8","38,2","38,7","39,1","39,5","39,9","40,3","40,7","41,1","41,4","41,8","42,0","42,2","42,4","42,6","42,8","42,9","43,1","43,3","43,5","43,7","44,0","44,3","44,5","44,7","44,9","45,1","45,2","45,4","45,6","45,9","46,0","46,2","46,3"
Pob_Hombres_Total,985202,1000148,1015432,1029400,1041503,1051613,1060387,1063055,1063708,1062915,1061336,1058622,1055676,1051745,1047000,1041592,1035272,1032987,1031924,1030406,1028503,1026439,1024412,1022890,1021175,1019552,1018360,1018331,1023795,1029660,1036133,1041966,1048899,1057895,1065421,1067188,1067391,1066155,1061831,1056919,1056495,1057049,1059094,1062576,1067911,1075169,1075982,1072491,1077504,1083488,1091718
Pob_Hombres_0anios,20249,20127,20591,19566,17859,16093,14886,14153,13113,12069,11446,10614,10388,9520,9005,8549,8075,8237,8399,8114,7770,7899,8097,8394,8355,8582,8947,9231,9231,10013,10107,10145,10373,10657,11052,10950,10809,10846,10639,9762,9830,9688,9293,8815,8242,7920,7671,7411,7057,6911,6614
Pob_Hombres_1anio,20189,20079,19969,20268,19241,17602,16045,14768,14018,12995,11956,11361,10539,10219,9375,8864,8358,8034,8221,8370,8103,7757,7890,8091,8374,8371,8628,8958,9318,9330,10088,10191,10263,10480,10758,11150,11060,10844,10803,10660,9818,9875,9728,9352,8870,8306,7983,7678,7542,7178,7026
Pob_Hombres_2anios,20355,20074,19963,19856,19998,18954,17379,15949,14659,13899,12896,11858,11286,10481,10067,9239,8732,8337,8050,8216,8350,8093,7749,7890,8088,8362,8396,8675,9066,9416,9389,10176,10299,10354,10588,10859,11257,11142,10815,10756,10712,9857,9931,9821,9467,9004,8342,7932,7749,7659,7300
Pob_Hombres_3anio,19969,20271,19955,19843,19744,19737,18676,17255,15844,14557,13784,12800,11769,11213,10429,9915,9101,8718,8351,8068,8210,8334,8084,7740,7890,8088,8347,8431,8752,9157,9479,9433,10235,10380,10432,10638,10930,11360,11097,10810,10782,10737,9887,9964,9895,9555,9028,8380,8088,7863,7745
Pob_Hombres_4_anios,19106,19881,20180,19840,19734,19632,19478,18520,17162,15740,14457,13675,12704,11678,11138,10375,9769,9086,8727,8367,8085,8204,8317,8077,7734,7892,8087,8349,8501,8848,9229,9549,9506,10331,10446,10525,10713,10966,11317,11072,10884,10822,10773,9949,10054,10016,9589,9040,8488,8193,7998
Pob_Hombres_5_anios,18808,19106,19801,20092,19732,19624,19524,19344,18391,17070,15640,14357,13566,12610,11583,11062,10321,9758,9096,8736,8384,8100,8201,8300,8070,7726,7895,8093,8445,8560,8923,9289,9620,9568,10356,10500,10576,10784,10978,11316,11105,10933,10872,10834,10020,10189,10059,9613,9162,8576,8336
Pob_Hombres_6_anios,18928,18822,19112,19723,20006,19619,19477,19412,19238,18263,16978,15535,14260,13455,12519,11491,10989,10320,9772,9108,8745,8399,8118,8198,8284,8063,7719,7910,8152,8528,8631,9013,9385,9689,9628,10402,10535,10618,10743,10927,11338,11110,10987,10922,10882,10140,10255,10095,9755,9269,8683
Pob_Hombres_7_anios,19407,18944,18838,19116,19646,19921,19508,19363,19305,19133,18136,16888,15435,14161,13346,12424,11402,10978,10325,9786,9117,8756,8414,8136,8194,8267,8055,7721,8005,8204,8576,8701,9117,9500,9728,9696,10444,10563,10595,10747,10956,11362,11150,11063,10965,10994,10161,10301,10244,9889,9391
Pob_Hombres_8_anios,19228,19395,18957,18860,19124,19567,19836,19400,19247,19204,19032,18007,16798,15338,14062,13237,12330,11399,10980,10337,9802,9128,8764,8432,8154,8190,8251,8055,7785,8072,8272,8655,8785,9190,9557,9783,9728,10479,10562,10602,10774,10965,11404,11184,11149,11087,11044,10184,10442,10373,10025
Pob_Hombres_9_anios,19457,19265,19386,18967,18879,19135,19494,19752,19288,19126,19103,18923,17881,16710,15239,13964,13131,12323,11417,10979,10347,9815,9139,8775,8447,8172,8187,8255,8123,7859,8141,8355,8757,8884,9252,9622,9794,9753,10469,10557,10626,10814,10998,11463,11228,11250,11129,11093,10376,10571,10506
Pob_Hombres_10_anios,19819,19487,19307,19383,18983,18899,19141,19415,19664,19176,19011,19003,18823,17752,16616,15140,13865,13137,12331,11435,10981,10357,9828,9151,8785,8465,8190,8201,8328,8221,7941,8237,8474,8888,8941,9328,9650,9817,9755,10478,10586,10622,10866,11059,11495,11300,11277,11112,11244,10459,10722
Pob_Hombres_11_anios,19008,19847,19526,19349,19373,18991,18917,19061,19344,19581,19070,18893,18899,18720,17628,16528,15044,13867,13168,12340,11455,10985,10365,9843,9162,8796,8482,8216,8272,8410,8298,8028,8326,8578,8990,8958,9357,9700,9820,9772,10518,10618,10658,10914,11087,11564,11334,11254,11290,11373,10609
Pob_Hombres_12_anios,18518,19069,19865,19557,19390,19367,19008,18855,18957,19269,19498,18965,18776,18797,18617,17503,16439,15042,13895,13200,12349,11472,10987,10376,9860,9174,8806,8519,8299,8367,8491,8381,8137,8424,8643,9056,9010,9393,9711,9843,9794,10537,10672,10703,10953,11173,11589,11355,11410,11385,11506
Pob_Hombres_13_anios,17931,18514,19130,19891,19590,19432,19361,18934,18778,18855,19198,19410,18857,18660,18694,18519,17374,16441,15064,13920,13232,12361,11489,10988,10389,9875,9187,8832,8597,8394,8441,8590,8477,8232,8514,8719,9100,9060,9421,9736,9874,9851,10595,10751,10775,11065,11191,11626,11508,11557,11572
Pob_Hombres_14_anios,17697,17949,18513,19192,19920,19622,19477,19271,18848,18700,18752,19124,19322,18751,18543,18589,18418,17382,16467,15082,13945,13261,12370,11505,10992,10398,9888,9211,8913,8679,8485,8554,8694,8610,8323,8589,8710,9128,9078,9407,9765,9909,9931,10690,10852,10891,11068,11228,11788,11625,11722
Pob_Hombres_15_anios,17488,17613,17966,18509,19245,19937,19651,19388,19168,18760,18618,18648,19046,19231,18642,18425,18479,18396,17419,16491,15102,13968,13292,12378,11520,10994,10409,9926,9311,9031,8796,8588,8672,8809,8706,8416,8653,8741,9162,9086,9428,9848,9977,10059,10806,10949,10962,11108,11430,11971,11796
Pob_Hombres_16_anios,17085,17476,17533,17983,18503,19306,19959,19559,19275,19065,18674,18532,18537,18969,19146,18527,18301,18439,18392,17450,16515,15115,13990,13322,12387,11539,10996,10447,10077,9419,9159,8928,8725,8898,9009,8813,8496,8716,8846,9210,9142,9491,9963,10136,10248,11003,11057,11062,11330,11676,12206
Pob_Hombres_17_anios,17028,17156,17461,17451,18003,18498,19359,19856,19439,19157,18954,18582,18448,18431,18887,19054,18410,18275,18419,18392,17485,16536,15134,14012,13350,12392,11545,11013,10605,10252,9591,9359,9145,8967,9153,9238,8951,8621,8817,8933,9334,9242,9640,10154,10433,10539,11140,11179,11387,11703,12116
Pob_Hombres_18_anios,16040,17093,17230,17443,17359,18015,18491,19247,19725,19311,19044,18842,18479,18359,18327,18806,18958,18372,18272,18402,18393,17519,16552,15145,14031,13375,12394,11586,11134,10732,10400,9781,9566,9373,9202,9293,9355,9035,8703,8859,9049,9436,9370,9824,10396,10688,10664,11277,11517,11727,12122
Pob_Hombres_19_anios,15407,16137,17163,17292,17422,17270,18032,18384,19098,19587,19175,18927,18734,18376,18264,18213,18718,18881,18346,18257,18381,18380,17552,16578,15159,14053,13398,12426,11740,11297,10910,10585,9995,9837,9542,9257,9267,9260,8958,8624,8887,9117,9537,9493,10052,10656,10792,10870,11601,11848,12083
Pob_Hombres_20_anios,14679,15495,16231,17223,17354,17410,17184,17927,18253,18942,19443,19044,18805,18624,18278,18162,18092,18634,18805,18316,18252,18359,18375,17578,16595,15171,14079,13464,12646,11966,11517,11133,10817,10272,10028,9585,9316,9261,9129,8914,8664,8949,9235,9699,9693,10306,10806,10914,11176,11944,12187
